id,food_code,day_of_week,time,meal_name,food_source,at_home,grams,kcal,protein,carbs,sugar,fat,caffeine,alcohol
109263,28320300,5,19,Dinner,Store - grocery/supermarket,Yes,199.5,114,12.11,5.07,2.13,4.95,0,0
109263,91746110,5,18,Snack,Child/Adult care center,Yes,20,101,2.2,12.03,10.4,5.09,1,0
109263,58106210,5,12,Lunch,Child/Adult care center,No,238,633,27.11,79.33,8.52,23.06,0,0
109263,64104010,5,16,Snack,Store - grocery/supermarket,Yes,209,99,0.19,23.71,21.17,0.52,0,0
109263,11710801,5,19,Dinner,Store - grocery/supermarket,Yes,124,123,3.55,13.83,13.02,5.92,0,0
109263,54304020,5,14,Snack,Child/Adult care center,No,10,49,1.09,5.94,0.45,2.27,0,0
109263,57124200,5,16,Snack,Store - grocery/supermarket,Yes,11.67,45,0.63,9.45,4.02,0.58,1,0
109263,94000100,5,8,Extended consumption,NA,Yes,105,0,0,0,0,0,0,0
109263,11710801,5,8,Breakfast,Store - grocery/supermarket,Yes,130.2,129,3.72,14.52,13.67,6.21,0,0
109263,94000100,5,14,Snack,NA,No,105,0,0,0,0,0,0,0
109263,56205008,5,19,Dinner,Store - grocery/supermarket,Yes,39.5,51,1.06,11.06,0.02,0.11,0,0
109263,94000010,5,12,Lunch,Child/Adult care center,No,150,0,0,0,0,0,0,0
109263,55501000,5,8,Breakfast,Store - grocery/supermarket,Yes,28,58,1.13,12.71,0.02,0.11,0,0
109264,94000100,5,12,Lunch,NA,No,45,0,0,0,0,0,0,0
109264,94000100,5,6,Breakfast,NA,Yes,240,0,0,0,0,0,0,0
109264,94000100,5,19,Dinner,NA,Yes,525,0,0,0,0,0,0,0
109264,58161437,5,19,Dinner,Store - grocery/supermarket,Yes,122.06,127,2.83,26.65,1.11,0.98,0,0
109264,74404010,5,12,Lunch,Cafeteria in a K-12 school,No,5.42,2,0.08,0.44,0.3,0.08,0,0
109264,22600100,5,19,Dinner,Store - grocery/supermarket,Yes,5,23,1.7,0.09,0,1.76,0,0
109264,83112500,5,12,Lunch,Cafeteria in a K-12 school,No,14.69,63,0.19,0.87,0.69,6.54,0,0
109264,24127202,5,19,Dinner,Store - grocery/supermarket,Yes,165,359,40.46,9.81,0.17,16.42,0,0
109264,94000100,5,12,Snack,NA,No,5,0,0,0,0,0,0,0
109264,14010000,5,12,Lunch,Cafeteria in a K-12 school,No,2.35,9,0.48,0.12,0.06,0.7,0,0
109264,54401075,5,12,Snack,Common coffee pot or snack tray,No,6,28,0.43,4.07,0.05,1.24,0,0
109264,91745020,5,13,Snack,From someone else/gift,No,24,95,0,23.52,15.1,0.05,0,0
109264,94000100,5,20,Drink,NA,Yes,615,0,0,0,0,0,0,0
109264,51306000,5,12,Lunch,Cafeteria in a K-12 school,No,10,41,1.32,6.81,0.33,1.09,0,0
109264,94000100,5,22,Drink,NA,No,210,0,0,0,0,0,0,0
109264,75111000,5,12,Lunch,Cafeteria in a K-12 school,No,200,30,1.3,7.26,3.34,0.22,0,0
109264,55200050,5,6,Breakfast,Store - grocery/supermarket,Yes,80,256,5.95,39.15,5.41,8.4,1,0
109264,74402200,5,12,Snack,Common coffee pot or snack tray,No,14.63,4,0.21,0.99,0.56,0.03,0,0
109264,75330080,5,19,Dinner,Store - grocery/supermarket,Yes,33.91,9,0.6,1.9,0.74,0.12,0,0
