student,fname,class
s01,seta_0001.jpg,hand
s01,seta_0002.jpg,hand
s01,seta_0003.jpg,hand
s01,seta_0004.jpg,hand
s01,seta_0005.jpg,hand
s01,seta_0006.jpg,hand
s01,seta_0007.jpg,hand
s01,seta_0008.jpg,hand
s01,seta_0009.jpg,hand
s01,seta_0010.jpg,hand
s02,seta_0011.jpg,hand
s02,seta_0012.jpg,hand
s02,seta_0013.jpg,hand
s02,seta_0014.jpg,hand
s02,seta_0015.jpg,hand
s02,seta_0016.jpg,hand
s02,seta_0017.jpg,hand
s02,seta_0018.jpg,hand
s02,seta_0019.jpg,hand
s02,seta_0020.jpg,hand
s03,seta_0021.jpg,hand
s03,seta_0022.jpg,hand
s03,seta_0023.jpg,hand
s03,seta_0024.jpg,hand
s03,seta_0025.jpg,hand
s03,seta_0026.jpg,hand
s03,seta_0027.jpg,hand
s03,seta_0028.jpg,hand
s03,seta_0029.jpg,hand
s03,seta_0030.jpg,hand
s04,seta_0031.jpg,hand
s04,seta_0032.jpg,hand
s04,seta_0033.jpg,hand
s04,seta_0034.jpg,hand
s04,seta_0035.jpg,hand
s04,seta_0036.jpg,hand
s04,seta_0037.jpg,hand
s04,seta_0038.jpg,hand
s04,seta_0039.jpg,hand
s04,seta_0040.jpg,hand
s05,seta_0041.jpg,hand
s05,seta_0042.jpg,hand
s05,seta_0043.jpg,hand
s05,seta_0044.jpg,hand
s05,seta_0045.jpg,hand
s05,seta_0046.jpg,hand
s05,seta_0047.jpg,hand
s05,seta_0048.jpg,hand
s05,seta_0049.jpg,hand
s05,seta_0050.jpg,hand
s06,seta_0051.jpg,hand
s06,seta_0052.jpg,hand
s06,seta_0053.jpg,hand
s06,seta_0054.jpg,hand
s06,seta_0055.jpg,hand
s06,seta_0056.jpg,hand
s06,seta_0057.jpg,hand
s06,seta_0058.jpg,hand
s06,seta_0059.jpg,hand
s06,seta_0060.jpg,hand
s07,seta_0061.jpg,hand
s07,seta_0062.jpg,hand
s07,seta_0063.jpg,hand
s07,seta_0064.jpg,hand
s07,seta_0065.jpg,hand
s07,seta_0066.jpg,hand
s07,seta_0067.jpg,hand
s07,seta_0068.jpg,hand
s07,seta_0069.jpg,hand
s07,seta_0070.jpg,hand
s08,seta_0071.jpg,hand
s08,seta_0072.jpg,hand
s08,seta_0073.jpg,hand
s08,seta_0074.jpg,hand
s08,seta_0075.jpg,hand
s08,seta_0076.jpg,hand
s08,seta_0077.jpg,hand
s08,seta_0078.jpg,hand
s08,seta_0079.jpg,hand
s08,seta_0080.jpg,hand
s09,seta_0081.jpg,hand
s09,seta_0082.jpg,hand
s09,seta_0083.jpg,hand
s09,seta_0084.jpg,hand
s09,seta_0085.jpg,hand
s09,seta_0086.jpg,hand
s09,seta_0087.jpg,hand
s09,seta_0088.jpg,hand
s09,seta_0089.jpg,hand
s09,seta_0090.jpg,hand
s10,seta_0091.jpg,hand
s10,seta_0092.jpg,hand
s10,seta_0093.jpg,hand
s10,seta_0094.jpg,hand
s10,seta_0095.jpg,hand
s10,seta_0096.jpg,hand
s10,seta_0097.jpg,hand
s10,seta_0098.jpg,hand
s10,seta_0099.jpg,hand
s10,seta_0100.jpg,hand
s11,seta_0101.jpg,hand
s11,seta_0102.jpg,hand
s11,seta_0103.jpg,hand
s11,seta_0104.jpg,hand
s11,seta_0105.jpg,hand
s11,seta_0106.jpg,hand
s11,seta_0107.jpg,hand
s11,seta_0108.jpg,hand
s11,seta_0109.jpg,hand
s11,seta_0110.jpg,hand
s12,seta_0111.jpg,hand
s12,seta_0112.jpg,hand
s12,seta_0113.jpg,hand
s12,seta_0114.jpg,hand
s12,seta_0115.jpg,hand
s12,seta_0116.jpg,hand
s12,seta_0117.jpg,hand
s12,seta_0118.jpg,hand
s12,seta_0119.jpg,hand
s12,seta_0120.jpg,hand
s13,seta_0121.jpg,hand
s13,seta_0122.jpg,hand
s13,seta_0123.jpg,hand
s13,seta_0124.jpg,hand
s13,seta_0125.jpg,hand
s13,seta_0126.jpg,hand
s13,seta_0127.jpg,hand
s13,seta_0128.jpg,hand
s13,seta_0129.jpg,hand
s13,seta_0130.jpg,hand
s14,seta_0131.jpg,hand
s14,seta_0132.jpg,hand
s14,seta_0133.jpg,hand
s14,seta_0134.jpg,hand
s14,seta_0135.jpg,hand
s14,seta_0136.jpg,hand
s14,seta_0137.jpg,hand
s14,seta_0138.jpg,hand
s14,seta_0139.jpg,hand
s15,seta_0140.jpg,hand
s15,seta_0141.jpg,hand
s15,seta_0142.jpg,hand
s15,seta_0143.jpg,hand
s15,seta_0144.jpg,hand
s15,seta_0145.jpg,hand
s15,seta_0146.jpg,hand
s15,seta_0147.jpg,hand
s15,seta_0148.jpg,hand
s15,seta_0149.jpg,hand
s01,setb_0001.jpg,food
s01,setb_0002.jpg,food
s01,setb_0003.jpg,food
s01,setb_0004.jpg,food
s01,setb_0005.jpg,food
s01,setb_0006.jpg,food
s01,setb_0007.jpg,food
s01,setb_0008.jpg,food
s01,setb_0009.jpg,food
s01,setb_0010.jpg,food
s02,setb_0011.jpg,food
s02,setb_0012.jpg,food
s02,setb_0013.jpg,food
s02,setb_0014.jpg,food
s02,setb_0015.jpg,food
s02,setb_0016.jpg,food
s02,setb_0017.jpg,food
s02,setb_0018.jpg,food
s02,setb_0019.jpg,food
s02,setb_0020.jpg,food
s03,setb_0021.jpg,food
s03,setb_0022.jpg,food
s03,setb_0023.jpg,food
s03,setb_0024.jpg,food
s03,setb_0025.jpg,food
s03,setb_0026.jpg,food
s03,setb_0027.jpg,food
s03,setb_0028.jpg,food
s03,setb_0029.jpg,food
s03,setb_0030.jpg,food
s04,setb_0031.jpg,food
s04,setb_0032.jpg,food
s04,setb_0033.jpg,food
s04,setb_0034.jpg,food
s04,setb_0035.jpg,food
s04,setb_0036.jpg,food
s04,setb_0037.jpg,food
s04,setb_0038.jpg,food
s04,setb_0039.jpg,food
s04,setb_0040.jpg,food
s05,setb_0041.jpg,food
s05,setb_0042.jpg,food
s05,setb_0043.jpg,food
s05,setb_0044.jpg,food
s05,setb_0045.jpg,food
s05,setb_0046.jpg,food
s05,setb_0047.jpg,food
s05,setb_0048.jpg,food
s05,setb_0049.jpg,food
s05,setb_0050.jpg,food
s06,setb_0051.jpg,food
s06,setb_0052.jpg,food
s06,setb_0053.jpg,food
s06,setb_0054.jpg,food
s06,setb_0055.jpg,food
s06,setb_0056.jpg,food
s06,setb_0057.jpg,food
s06,setb_0058.jpg,food
s06,setb_0059.jpg,food
s06,setb_0060.jpg,food
s07,setb_0061.jpg,food
s07,setb_0062.jpg,food
s07,setb_0063.jpg,food
s07,setb_0064.jpg,food
s07,setb_0065.jpg,food
s07,setb_0066.jpg,food
s07,setb_0067.jpg,food
s07,setb_0068.jpg,food
s07,setb_0069.jpg,food
s07,setb_0070.jpg,food
s08,setb_0071.jpg,food
s08,setb_0072.jpg,food
s08,setb_0073.jpg,food
s08,setb_0074.jpg,food
s08,setb_0075.jpg,food
s08,setb_0076.jpg,food
s08,setb_0077.jpg,food
s08,setb_0078.jpg,food
s08,setb_0079.jpg,food
s08,setb_0080.jpg,food
s09,setb_0081.jpg,food
s09,setb_0082.jpg,food
s09,setb_0083.jpg,food
s09,setb_0084.jpg,food
s09,setb_0085.jpg,food
s09,setb_0086.jpg,food
s09,setb_0087.jpg,food
s09,setb_0088.jpg,food
s09,setb_0089.jpg,food
s09,setb_0090.jpg,food
s10,setb_0091.jpg,food
s10,setb_0092.jpg,food
s10,setb_0093.jpg,food
s10,setb_0094.jpg,food
s10,setb_0095.jpg,food
s10,setb_0096.jpg,food
s10,setb_0097.jpg,food
s10,setb_0098.jpg,food
s10,setb_0099.jpg,food
s10,setb_0100.jpg,food
s11,setb_0101.jpg,food
s11,setb_0102.jpg,food
s11,setb_0103.jpg,food
s11,setb_0104.jpg,food
s11,setb_0105.jpg,food
s11,setb_0106.jpg,food
s11,setb_0107.jpg,food
s11,setb_0108.jpg,food
s11,setb_0109.jpg,food
s11,setb_0110.jpg,food
s12,setb_0111.jpg,food
s12,setb_0112.jpg,food
s12,setb_0113.jpg,food
s12,setb_0114.jpg,food
s12,setb_0115.jpg,food
s12,setb_0116.jpg,food
s12,setb_0117.jpg,food
s12,setb_0118.jpg,food
s12,setb_0119.jpg,food
s12,setb_0120.jpg,food
s13,setb_0121.jpg,food
s13,setb_0122.jpg,food
s13,setb_0123.jpg,food
s13,setb_0124.jpg,food
s13,setb_0125.jpg,food
s13,setb_0126.jpg,food
s13,setb_0127.jpg,food
s13,setb_0128.jpg,food
s13,setb_0129.jpg,food
s13,setb_0130.jpg,food
s14,setb_0131.jpg,food
s14,setb_0132.jpg,food
s14,setb_0133.jpg,food
s14,setb_0134.jpg,food
s14,setb_0135.jpg,food
s14,setb_0136.jpg,food
s14,setb_0137.jpg,food
s14,setb_0138.jpg,food
s14,setb_0139.jpg,food
s14,setb_0140.jpg,food
s15,setb_0141.jpg,food
s15,setb_0142.jpg,food
s15,setb_0143.jpg,food
s15,setb_0144.jpg,food
s15,setb_0145.jpg,food
s15,setb_0146.jpg,food
s15,setb_0147.jpg,food
s15,setb_0148.jpg,food
s15,setb_0149.jpg,food
s15,setb_0150.jpg,food
s01,setc_0001.jpg,classroom
s01,setc_0002.jpg,classroom
s01,setc_0003.jpg,classroom
s01,setc_0004.jpg,classroom
s01,setc_0005.jpg,classroom
s01,setc_0006.jpg,classroom
s01,setc_0007.jpg,classroom
s01,setc_0008.jpg,classroom
s01,setc_0009.jpg,classroom
s01,setc_0010.jpg,classroom
s02,setc_0011.jpg,classroom
s02,setc_0012.jpg,classroom
s02,setc_0013.jpg,classroom
s02,setc_0014.jpg,classroom
s02,setc_0015.jpg,classroom
s02,setc_0016.jpg,classroom
s02,setc_0017.jpg,classroom
s02,setc_0018.jpg,classroom
s02,setc_0019.jpg,classroom
s02,setc_0020.jpg,classroom
s03,setc_0021.jpg,classroom
s03,setc_0022.jpg,classroom
s03,setc_0023.jpg,classroom
s03,setc_0024.jpg,classroom
s03,setc_0025.jpg,classroom
s03,setc_0026.jpg,classroom
s03,setc_0027.jpg,classroom
s03,setc_0028.jpg,classroom
s03,setc_0029.jpg,classroom
s03,setc_0030.jpg,classroom
s04,setc_0031.jpg,classroom
